"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verifica crearea unui utilizator nou","chromium","Wed May 21 02:43:10 EEST 2025","skipped","Wed May 21 02:43:10 EEST 2025","POST /users 200 OK","api/users/post_user.spec.ts","",""
"","403","Verifica editarea unui utilizator care nu exista","api","Wed May 21 03:02:09 EEST 2025","passed","Wed May 21 03:02:10 EEST 2025","PATCH|PUT /users 404 Not Found","api/users/patch_user.spec.ts","",""
"","687","Creare task nr.8 cu importanta: ""Medium"" si etichta: ""Hobby""","chromium","Wed May 21 02:45:03 EEST 2025","passed","Wed May 21 02:45:04 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","160","Verifica returnarea unui table gol daca utilizatorii sunt filtrati dupa cheie/valoare invalida","api","Wed May 21 03:02:07 EEST 2025","passed","Wed May 21 03:02:07 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","35","Verifica editarea unui utilizator prin metoda PUT","chromium","Wed May 21 02:43:09 EEST 2025","failed","Wed May 21 02:43:09 EEST 2025","PATCH|PUT /users 200 OK","api/users/patch_user.spec.ts","",""
"","35","Verifica logarea cu parola invalida","chromium","Wed May 21 02:43:02 EEST 2025","failed","Wed May 21 02:43:02 EEST 2025","POST /auth/login 400 Bad Request","api/auth/login.spec.ts","",""
"","30","Valideaza status-ul cererii si raspunsul","chromium","Wed May 21 02:43:03 EEST 2025","failed","Wed May 21 02:43:03 EEST 2025","DELETE /users/:id 200 OK","api/users/delete_user.spec.ts","",""
"","707","Creare task nr.9 cu importanta: ""Low"" si etichta: ""Home""","chromium","Wed May 21 02:45:04 EEST 2025","passed","Wed May 21 02:45:05 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","30","Verifica stergerea unui utilizator care nu exista","chromium","Wed May 21 02:43:03 EEST 2025","passed","Wed May 21 02:43:03 EEST 2025","DELETE /users/:id 404 Not Found","api/users/delete_user.spec.ts","",""
"","34","Verifica returnarea unui table gol daca utilizatorii sunt filtrati dupa cheie/valoare invalida","chromium","Wed May 21 02:43:04 EEST 2025","failed","Wed May 21 02:43:05 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","159","Trimite o cerere catre un utilizator cu id inexistent","api","Wed May 21 03:02:07 EEST 2025","passed","Wed May 21 03:02:07 EEST 2025","GET /users/:id 404 Not Found","api/users/get_single_user.spec.ts","",""
"","180","Valideaza status-ul cererii si raspunsul","api","Wed May 21 03:02:06 EEST 2025","passed","Wed May 21 03:02:06 EEST 2025","DELETE /users/:id 200 OK","api/users/delete_user.spec.ts","",""
"","35","Verifica editarea unui utilizator care nu exista","chromium","Wed May 21 02:43:10 EEST 2025","failed","Wed May 21 02:43:10 EEST 2025","PATCH|PUT /users 404 Not Found","api/users/patch_user.spec.ts","",""
"","200","Verifica stergerea unui utilizator care nu exista","api","Wed May 21 03:02:06 EEST 2025","passed","Wed May 21 03:02:06 EEST 2025","DELETE /users/:id 404 Not Found","api/users/delete_user.spec.ts","",""
"","697","Creare task nr.6 cu importanta: ""Medium"" si etichta: ""Work""","chromium","Wed May 21 02:45:02 EEST 2025","passed","Wed May 21 02:45:03 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","712","permite utilizatorului stergerea unui task existent","chromium","Wed May 21 02:44:55 EEST 2025","passed","Wed May 21 02:44:56 EEST 2025","Stergerea task-urilor","ui/task_deletion.spec.ts","",""
"","5636","permite utilizatorului crearea unui task nou","chromium","Wed May 21 02:44:40 EEST 2025","failed","Wed May 21 02:44:45 EEST 2025","Crearea task-urilor > Scenarii pozitive","ui/task_creation.spec.ts","",""
"","1021","permite utilizatorului crearea mai multor task-uri noi","chromium","Wed May 21 02:44:46 EEST 2025","passed","Wed May 21 02:44:47 EEST 2025","Crearea task-urilor > Scenarii pozitive","ui/task_creation.spec.ts","",""
"","160","Valideaza status-ul cererii si detaliile unui singur utilizator","api","Wed May 21 03:02:07 EEST 2025","passed","Wed May 21 03:02:07 EEST 2025","GET /users/:id 200 OK","api/users/get_single_user.spec.ts","",""
"","696","Creare task nr.3 cu importanta: ""High"" si etichta: ""Social""","chromium","Wed May 21 02:45:00 EEST 2025","passed","Wed May 21 02:45:00 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","33","Valideaza status-ul cererii si detaliile post-urilor unui utilizator","chromium","Wed May 21 02:43:06 EEST 2025","failed","Wed May 21 02:43:06 EEST 2025","GET /users/:id/posts 200 OK","api/users/get_users_posts.spec.ts","",""
"","34","Verifica editarea unui utilizator prin metoda PATCH","chromium","Wed May 21 02:43:08 EEST 2025","failed","Wed May 21 02:43:08 EEST 2025","PATCH|PUT /users 200 OK","api/users/patch_user.spec.ts","",""
"","705","Creare task nr.2 cu importanta: ""High"" si etichta: ""Work""","chromium","Wed May 21 02:44:59 EEST 2025","passed","Wed May 21 02:45:00 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","19","Valideaza status-ul cererii si raspunsul","chromium","Wed May 21 02:43:03 EEST 2025","failed","Wed May 21 02:43:03 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","150","Valideaza status-ul cererii si detaliile post-urilor unui utilizator cu id invalid","api","Wed May 21 03:02:08 EEST 2025","passed","Wed May 21 03:02:08 EEST 2025","GET /users/:id/posts 400 Bad Request","api/users/get_users_posts.spec.ts","",""
"","32","Trimite o cerere catre un utilizator cu id invalid","chromium","Wed May 21 02:43:06 EEST 2025","failed","Wed May 21 02:43:06 EEST 2025","GET /users/:id 400 Bad Request","api/users/get_single_user.spec.ts","",""
"","709","Creare task nr.12 cu importanta: ""Low"" si etichta: ""Hobby""","chromium","Wed May 21 02:45:06 EEST 2025","passed","Wed May 21 02:45:07 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","717","Creare task nr.7 cu importanta: ""Medium"" si etichta: ""Social""","chromium","Wed May 21 02:45:03 EEST 2025","passed","Wed May 21 02:45:03 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","406","Verifica logarea cu parola invalida","api","Wed May 21 03:02:06 EEST 2025","passed","Wed May 21 03:02:06 EEST 2025","POST /auth/login 400 Bad Request","api/auth/login.spec.ts","",""
"","694","verifica ca task-ul are importanta implicita ""Medium""","chromium","Wed May 21 02:44:38 EEST 2025","passed","Wed May 21 02:44:39 EEST 2025","Verificarea validarii cerintelor","ui/requirements_validation.spec.ts","",""
"","644","utilizatorul poate crea un task cu lungimea titlului de 50 caracter(e)","chromium","Wed May 21 02:44:48 EEST 2025","passed","Wed May 21 02:44:49 EEST 2025","Crearea task-urilor > Scenarii pozitive","ui/task_creation.spec.ts","",""
"","873","permite utilizatorului stergerea mai multor task-uri existente","chromium","Wed May 21 02:44:56 EEST 2025","passed","Wed May 21 02:44:57 EEST 2025","Stergerea task-urilor","ui/task_deletion.spec.ts","",""
"","309","Verifica editarea unui utilizator prin metoda PUT","api","Wed May 21 03:02:09 EEST 2025","passed","Wed May 21 03:02:09 EEST 2025","PATCH|PUT /users 200 OK","api/users/patch_user.spec.ts","",""
"","6125","verifica ca starea task-ului este ""Uncomplete""","chromium","Wed May 21 02:44:25 EEST 2025","failed","Wed May 21 02:44:31 EEST 2025","Verificarea validarii cerintelor","ui/requirements_validation.spec.ts","",""
"","193","Verifica filtrarea utilizatorilor dupa cheie/valoare valida","api","Wed May 21 03:02:07 EEST 2025","passed","Wed May 21 03:02:07 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","703","Creare task nr.1 cu importanta: ""High"" si etichta: ""Home""","chromium","Wed May 21 02:44:58 EEST 2025","passed","Wed May 21 02:44:59 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","323","Verifica editarea unui utilizator cu id invalid","api","Wed May 21 03:02:09 EEST 2025","passed","Wed May 21 03:02:09 EEST 2025","PATCH|PUT /users 400 Bad Request","api/users/patch_user.spec.ts","",""
"","634","utilizatorul poate crea un task cu lungimea titlului de 20 caracter(e)","chromium","Wed May 21 02:44:48 EEST 2025","passed","Wed May 21 02:44:48 EEST 2025","Crearea task-urilor > Scenarii pozitive","ui/task_creation.spec.ts","",""
"","714","Creare task nr.10 cu importanta: ""Low"" si etichta: ""Work""","chromium","Wed May 21 02:45:05 EEST 2025","passed","Wed May 21 02:45:05 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","5669","verifica ca task-ul nu poate fi creat fara titlu","chromium","Wed May 21 02:44:32 EEST 2025","failed","Wed May 21 02:44:37 EEST 2025","Verificarea validarii cerintelor","ui/requirements_validation.spec.ts","",""
"","34","Valideaza status-ul cererii si detaliile unui singur utilizator","chromium","Wed May 21 02:43:05 EEST 2025","failed","Wed May 21 02:43:05 EEST 2025","GET /users/:id 200 OK","api/users/get_single_user.spec.ts","",""
"","713","Creare task nr.4 cu importanta: ""High"" si etichta: ""Hobby""","chromium","Wed May 21 02:45:00 EEST 2025","passed","Wed May 21 02:45:01 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","743","permite utilizatorului editarea titlului unui task existent","chromium","Wed May 21 02:44:57 EEST 2025","passed","Wed May 21 02:44:58 EEST 2025","Editarea task-urilor","ui/task_edit.spec.ts","",""
"","36","Verifica limitarea si ignorarea numărului de utilizatori","chromium","Wed May 21 02:43:03 EEST 2025","failed","Wed May 21 02:43:04 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","5613","nu permite utilizatorului crearea unui task cu titlu gol","chromium","Wed May 21 02:44:49 EEST 2025","failed","Wed May 21 02:44:54 EEST 2025","Crearea task-urilor > Scenarii negative","ui/task_creation.spec.ts","",""
